id,carat,cut,color,clarity,depth,table,x,y,z,price
0,0.5,Ideal,D,VS2,62.3,55.0,5.11,5.07,3.17,1845
1,1.54,Good,I,VS1,63.6,60.0,7.3,7.33,4.65,10164
2,1.32,Very Good,J,SI2,61.7,60.0,6.95,7.01,4.31,5513
3,1.2,Ideal,I,SI1,62.1,55.0,6.83,6.79,4.23,5174
4,1.73,Premium,I,SI1,61.2,60.0,7.67,7.65,4.69,10957
5,0.91,Ideal,G,VS1,61.3,56.0,6.28,6.21,3.83,4029
6,2.3,Premium,I,SI2,61.3,58.0,8.53,8.46,5.21,11051
7,0.73,Premium,D,VS2,59.8,58.0,5.89,5.85,3.51,3250
8,0.7,Ideal,E,VVS2,62.4,54.0,5.66,5.71,3.55,3585
9,0.33,Ideal,I,VS1,61.7,55.0,4.44,4.47,2.75,573
10,1.09,Good,H,SI1,62.4,64.0,6.61,6.51,4.09,4700
11,1.24,Very Good,I,VS1,61.4,63.0,6.89,6.88,4.23,5444
12,0.51,Good,H,SI1,63.6,57.0,5.09,5.04,3.22,1116
13,0.32,Very Good,G,SI2,63.4,55.0,4.35,4.32,2.75,540
14,0.58,Ideal,E,VVS2,62.1,56.0,5.33,5.36,3.32,2529
15,1.51,Premium,E,SI1,58.3,59.0,7.52,7.47,4.37,12644
16,0.9,Good,E,SI1,63.9,57.0,6.05,6.1,3.88,4463
17,1.04,Ideal,H,SI2,62.2,56.0,6.51,6.48,4.04,4077
18,0.42,Ideal,E,VS2,61.8,57.0,4.81,4.77,2.96,1024
19,0.56,Ideal,E,VS1,61.0,57.0,5.32,5.34,3.25,1978
20,1.02,Ideal,G,VS2,60.5,57.0,6.51,6.55,3.95,6356
21,0.39,Ideal,H,VS2,62.0,54.4,4.67,4.72,2.91,670
22,1.23,Premium,I,VS2,61.7,58.0,6.85,6.87,4.23,5521
23,0.73,Ideal,I,VVS1,61.9,55.0,5.78,5.82,3.59,2575
24,1.02,Good,D,SI2,57.5,62.0,6.62,6.6,3.8,3909
25,0.55,Very Good,E,VS2,61.0,59.0,5.31,5.34,2.25,1831
26,0.31,Good,H,VS2,63.8,56.0,4.33,4.29,2.75,586
27,1.2,Very Good,J,VS2,63.1,56.0,6.77,6.71,4.25,4232
28,0.25,Very Good,E,VVS1,62.3,55.0,4.04,4.06,2.52,633
29,0.49,Ideal,D,VS1,62.3,55.0,5.03,5.05,3.14,1934
30,0.33,Ideal,G,VS2,62.3,57.0,4.43,4.4,2.75,743
31,0.75,Ideal,F,VS2,62.5,57.0,5.78,5.83,3.63,2893
32,1.15,Very Good,H,SI2,63.0,54.0,6.64,6.73,4.21,4483
33,0.75,Very Good,E,SI1,60.2,60.0,5.89,5.93,3.56,2968
34,0.34,Ideal,I,VS2,61.5,55.0,4.53,4.55,2.79,495
35,0.71,Very Good,G,SI1,61.2,61.0,5.66,5.71,3.48,2266
36,1.0,Premium,G,SI2,62.7,59.0,6.3,6.36,3.97,4095
37,1.01,Very Good,G,VS1,63.6,57.0,6.3,6.35,4.02,6905
38,0.31,Ideal,H,VVS2,62.2,57.0,4.32,4.36,2.7,625
39,0.9,Premium,F,SI2,60.5,57.0,6.23,6.2,3.76,3704
40,1.51,Ideal,I,VS2,59.9,56.0,7.49,7.42,4.47,9471
41,1.5,Very Good,E,SI2,62.8,57.0,7.17,7.23,4.52,8538
42,0.54,Ideal,E,SI2,62.7,57.0,5.2,5.23,3.27,1111
43,0.35,Ideal,I,VVS2,62.3,57.0,4.49,4.53,2.81,614
44,1.52,Fair,H,SI2,64.9,58.0,7.23,7.19,4.68,7388
45,0.57,Ideal,G,VVS2,61.7,54.0,5.32,5.41,3.31,2095
46,1.16,Ideal,F,VVS2,60.5,58.0,6.77,6.85,4.12,10850
47,1.54,Premium,J,SI1,61.1,58.0,7.48,7.41,4.55,5028
48,2.01,Very Good,I,SI2,60.5,59.0,8.19,8.26,4.98,14637
49,0.53,Ideal,G,VS1,61.8,55.0,5.17,5.22,3.21,1721
50,0.9,Premium,G,SI1,62.6,57.0,6.16,6.11,3.84,4455
51,1.5,Premium,G,SI1,62.9,56.0,7.34,7.22,4.58,9954
52,0.34,Good,F,SI2,63.9,56.0,4.4,4.43,2.82,417
53,0.44,Ideal,G,VS2,62.0,55.0,4.89,4.91,3.04,869
54,1.82,Fair,H,I1,67.3,58.0,7.5,7.47,5.04,5993
55,0.4,Good,E,SI1,60.6,65.0,4.74,4.71,2.86,1110
56,0.41,Premium,J,VS1,60.8,61.0,4.79,4.72,2.89,830
57,0.4,Very Good,E,VVS2,62.4,58.0,4.7,4.76,2.95,1017
58,0.74,Very Good,G,SI2,63.3,57.0,5.73,5.7,3.62,2398
59,0.51,Very Good,D,SI1,60.9,59.0,5.13,5.19,3.14,1569
60,0.74,Good,F,SI2,62.6,65.0,5.66,5.69,3.55,2685
61,0.52,Ideal,E,VS2,61.0,57.0,5.21,5.19,3.17,1767
62,1.08,Ideal,F,VS1,62.1,53.0,6.6,6.64,4.11,8321
63,0.33,Very Good,H,VS2,58.8,62.0,4.49,4.53,2.65,486
64,1.09,Good,F,SI2,63.2,58.0,6.49,6.54,4.12,4766
65,0.51,Ideal,D,VS1,61.7,54.0,5.12,5.15,3.17,1752
66,0.61,Ideal,D,SI1,62.0,55.0,5.47,5.44,3.38,2029
67,0.31,Ideal,H,VS2,61.3,56.0,4.36,4.38,2.68,507
68,0.52,Ideal,D,VS1,62.2,56.0,5.16,5.13,3.2,2296
69,0.71,Good,F,SI1,64.3,58.0,5.61,5.55,3.59,2258
70,1.11,Very Good,I,SI2,62.5,58.0,6.59,6.65,4.14,4442
71,0.34,Ideal,G,VS2,61.9,55.0,4.49,4.53,2.79,596
72,0.35,Good,D,SI1,63.3,57.0,4.51,4.53,2.86,644
73,0.51,Good,G,VVS1,63.9,57.0,5.06,5.08,3.24,1925
74,1.56,Ideal,G,VVS2,62.3,54.0,7.41,7.45,4.63,15609
75,0.34,Premium,E,VS2,60.9,60.0,4.51,4.49,2.74,956
76,0.72,Ideal,D,SI1,61.7,55.0,5.77,5.8,3.57,3568
77,1.32,Good,J,VS1,62.6,62.0,6.92,7.01,4.36,6147
78,1.24,Ideal,H,VVS1,61.9,55.0,6.85,6.91,4.27,8693
79,0.38,Ideal,E,VS2,61.9,57.0,4.61,4.66,2.87,751
80,0.73,Premium,H,SI1,62.2,57.0,5.8,5.77,3.6,2107
81,1.04,Good,G,VS1,58.9,64.0,6.6,6.64,3.9,6151
82,0.41,Ideal,G,VS1,61.7,57.0,4.78,4.81,2.96,899
83,0.71,Ideal,E,SI2,61.2,57.0,5.75,5.78,3.53,2619
84,0.3,Premium,G,VS1,62.3,59.0,4.3,4.27,2.67,776
85,0.7,Premium,I,SI1,61.8,62.0,5.69,5.64,3.5,1914
86,0.62,Ideal,G,SI1,61.6,56.0,5.46,5.55,3.39,1563
87,1.2,Premium,J,VS2,62.6,57.0,6.8,6.72,4.23,5053
88,1.04,Premium,I,SI1,60.7,59.0,6.6,6.57,4.0,4601
89,0.53,Ideal,G,SI1,61.8,58.0,5.16,5.19,3.2,1255
90,1.25,Premium,J,VS1,62.2,58.0,6.92,6.88,4.29,5740
91,1.01,Very Good,F,SI2,61.0,60.0,6.44,6.48,3.94,4121
92,1.04,Ideal,G,VVS1,62.5,55.0,6.54,6.45,4.06,8268
93,0.33,Ideal,H,IF,61.4,54.0,4.47,4.49,2.75,838
94,0.78,Very Good,G,SI2,63.8,56.0,5.81,5.85,3.72,2759
95,0.28,Very Good,E,VVS2,60.2,58.0,4.24,4.27,2.56,604
96,0.4,Very Good,E,SI1,62.0,55.0,4.68,4.74,2.92,737
97,0.9,Good,H,SI1,64.4,58.0,6.04,6.08,3.9,3465
98,0.4,Very Good,E,SI1,60.8,62.0,4.72,4.76,2.88,687
99,1.03,Premium,H,SI1,61.8,58.0,6.47,6.41,3.98,3945
100,0.23,Very Good,F,VS1,60.0,57.0,4.0,4.03,2.41,402
101,0.32,Ideal,D,VS2,61.0,56.0,4.42,4.46,2.71,758
102,2.03,Very Good,D,SI2,62.4,59.0,7.98,8.04,5.0,18120
103,0.37,Ideal,F,VVS1,61.3,55.0,4.62,4.65,2.84,960
104,1.1,Premium,G,VS2,60.2,58.0,6.75,6.71,4.05,6653
105,0.72,Ideal,D,VS2,62.0,54.8,5.73,5.76,3.56,3543
106,0.34,Ideal,H,VVS1,62.0,54.0,4.48,4.46,2.77,995
107,0.32,Ideal,I,VS1,62.4,54.0,4.36,4.39,2.73,505
108,1.87,Ideal,J,SI1,62.3,57.0,7.88,7.82,4.89,10137
109,0.33,Ideal,G,VS2,62.6,57.0,4.47,4.45,2.79,743
110,0.51,Ideal,F,VS1,61.7,55.0,5.14,5.17,3.18,2085
111,1.16,Premium,I,SI1,60.0,58.0,6.82,6.78,4.08,4872
112,1.71,Ideal,J,VS1,61.6,57.0,7.67,7.62,4.71,10821
113,0.7,Very Good,H,SI1,63.4,61.0,5.62,5.58,3.55,2176
114,2.03,Premium,D,SI2,62.4,59.0,8.04,7.98,5.0,18286
115,0.81,Premium,D,VS1,62.3,58.0,6.0,5.94,3.72,4209
116,0.93,Very Good,H,SI1,59.3,61.0,6.33,6.39,3.77,3838
117,0.4,Premium,E,SI1,60.8,62.0,4.76,4.72,2.88,882
118,1.02,Ideal,F,VVS2,61.1,56.3,6.48,6.52,3.97,9521
119,0.5,Good,F,VS2,62.8,61.0,4.94,5.0,3.12,1447
120,1.03,Premium,F,SI2,60.2,55.0,6.59,6.53,3.95,3974
121,0.95,Fair,F,SI2,56.0,60.0,6.62,6.53,3.68,2815
122,1.01,Premium,H,VS2,61.5,59.0,6.48,6.49,3.99,5303
123,0.42,Premium,F,SI1,60.6,61.0,4.87,4.83,2.94,926
124,1.0,Premium,H,VS1,61.5,57.0,6.44,6.37,3.94,5387
125,0.6,Very Good,G,VS2,62.9,59.0,5.35,5.39,3.38,1773
126,1.01,Very Good,E,SI1,59.5,57.0,6.56,6.62,3.92,5534
127,0.43,Very Good,G,VS2,62.9,59.0,4.78,4.83,3.02,867
128,1.54,Very Good,I,VS2,62.2,58.0,7.32,7.37,4.57,8656
129,0.35,Premium,E,SI1,61.2,58.0,4.53,4.59,2.79,614
130,0.35,Ideal,F,VS2,61.4,55.0,4.6,4.55,2.81,906
131,1.09,Premium,I,SI1,61.7,59.0,6.59,6.53,4.05,4273
132,0.33,Ideal,E,VS2,62.3,56.0,4.46,4.47,2.78,723
133,1.5,Very Good,G,SI2,63.1,57.0,7.29,7.25,4.59,9384
134,1.02,Very Good,F,VS1,62.7,55.0,6.37,6.43,4.01,7539
135,1.15,Ideal,D,VS2,61.0,57.0,6.76,6.78,4.13,10546
136,0.9,Good,F,SI1,57.5,60.0,6.33,6.37,3.65,3950
137,1.54,Very Good,G,VS1,60.7,60.0,7.43,7.55,4.55,13284
138,0.62,Premium,H,IF,58.9,58.0,5.65,5.58,3.31,2389
139,0.38,Premium,F,VS1,60.9,58.0,4.71,4.68,2.86,998
140,0.8,Ideal,F,SI2,62.5,56.0,5.94,5.99,3.73,3066
141,1.2,Ideal,D,VS1,61.0,59.0,6.79,6.85,4.16,11053
142,0.41,Ideal,H,VVS1,62.2,57.0,4.78,4.74,2.96,1115
143,1.01,Very Good,I,SI2,63.7,56.0,6.33,6.38,4.05,4047
144,0.7,Ideal,H,SI2,61.8,57.0,5.67,5.72,3.52,2298
145,1.54,Ideal,G,VS2,61.5,57.0,7.44,7.41,4.57,11487
146,0.32,Premium,G,VS1,61.4,58.0,4.36,4.4,2.69,645
147,0.7,Very Good,E,VS2,60.2,62.0,5.71,5.75,3.45,2843
148,0.34,Premium,D,SI1,61.2,58.0,4.49,4.47,2.74,803
149,0.7,Ideal,I,VS2,62.2,55.0,5.66,5.69,3.53,2232
150,1.5,Very Good,G,VS2,62.1,57.0,7.21,7.31,4.51,12156
151,1.29,Premium,I,SI1,62.1,58.0,7.07,6.91,4.34,6140
152,0.53,Ideal,F,VS1,61.2,56.0,5.22,5.24,3.2,1830
153,1.6,Ideal,F,SI2,61.7,56.0,7.53,7.5,4.64,10662
154,0.67,Premium,F,VS2,62.5,59.0,5.58,5.53,3.47,2211
155,1.23,Very Good,D,SI1,59.7,58.0,6.96,7.02,4.17,7799
156,1.09,Ideal,E,VS2,62.1,57.0,6.62,6.56,4.09,7813
157,0.57,Very Good,F,VVS2,62.6,58.0,5.28,5.3,3.31,2290
158,1.01,Very Good,H,SI1,61.8,60.0,6.38,6.44,3.96,4855
159,0.78,Very Good,F,VS1,63.3,56.0,5.84,5.89,3.71,3563
160,0.26,Very Good,E,VVS2,62.9,56.0,4.07,4.1,2.57,614
161,1.52,Fair,D,SI2,56.3,61.0,7.7,7.62,4.31,7702
162,0.31,Premium,D,SI1,60.9,60.0,4.38,4.39,2.67,571
163,1.21,Ideal,H,VS2,62.6,54.8,6.78,6.84,4.26,7426
164,0.42,Premium,G,VS2,59.8,58.0,4.86,4.9,2.92,847
165,2.15,Premium,J,SI1,62.4,60.0,8.24,8.18,5.12,13746
166,0.35,Premium,H,VVS2,62.5,58.0,4.51,4.48,2.81,906
167,1.21,Premium,G,VS1,62.7,58.0,6.76,6.85,4.27,8616
168,0.71,Good,J,SI1,61.5,62.0,5.61,5.66,3.47,1755
169,1.5,Fair,E,SI2,69.6,62.0,6.88,6.79,4.76,7560
170,0.3,Ideal,E,VVS2,62.3,57.0,4.29,4.31,2.68,766
171,0.71,Ideal,J,VVS2,60.5,58.0,5.77,5.8,3.5,2162
172,0.58,Ideal,G,IF,62.1,56.0,5.35,5.37,3.32,2528
173,0.32,Ideal,E,IF,62.6,55.0,4.41,4.38,2.75,1170
174,0.3,Premium,G,VS1,62.4,58.0,4.24,4.22,2.64,776
175,1.05,Very Good,E,VS1,61.6,58.0,6.53,6.56,4.03,7521
176,1.01,Ideal,E,VS1,61.5,57.0,6.47,6.44,3.97,7727
177,0.36,Ideal,E,VS1,61.4,56.0,4.59,4.63,2.83,747
178,0.51,Ideal,G,VS2,62.2,54.0,5.11,5.14,3.19,1443
179,1.53,Premium,D,SI1,61.6,58.0,7.42,7.35,4.55,10907
180,0.3,Ideal,E,VVS1,60.1,57.0,4.41,4.38,2.64,956
181,0.32,Very Good,G,VVS2,60.9,61.0,4.39,4.41,2.68,730
182,0.8,Premium,H,SI2,62.2,58.0,5.99,5.93,3.71,2346
183,1.54,Ideal,I,SI2,61.4,55.0,7.52,7.43,4.59,5994
184,0.76,Ideal,F,VS2,61.6,55.0,5.88,5.9,3.63,2725
185,0.32,Ideal,H,VS2,63.0,57.0,4.38,4.35,2.75,648
186,0.25,Very Good,E,VVS2,61.7,57.0,4.08,4.12,2.53,548
187,0.33,Ideal,G,IF,61.7,55.0,4.45,4.47,2.75,984
188,1.2,Good,F,VS2,63.8,60.0,6.6,6.65,4.23,7666
189,0.9,Very Good,H,SI2,62.4,58.0,6.11,6.16,3.83,3250
190,0.71,Good,I,VS2,64.0,59.0,5.61,5.55,3.57,1840
191,0.5,Ideal,I,VVS1,62.4,53.0,5.1,5.12,3.19,1370
192,1.54,Ideal,G,VS2,61.2,56.0,7.43,7.47,4.56,13794
193,1.34,Very Good,D,SI2,62.3,59.0,6.99,7.03,4.37,7230
194,1.08,Premium,D,VS2,61.2,60.0,6.63,6.61,4.05,7824
195,0.4,Premium,H,VS1,62.6,58.0,4.73,4.66,2.94,1035
196,0.32,Very Good,G,SI1,60.9,56.0,4.41,4.45,2.7,477
197,0.91,Good,I,VS2,64.3,58.0,6.05,6.09,3.9,2863
198,0.77,Premium,D,SI1,59.5,60.0,6.01,5.95,3.56,2939
199,0.4,Very Good,D,SI1,63.0,57.0,4.66,4.7,2.95,720
200,0.51,Very Good,G,SI1,60.3,61.0,5.12,5.19,3.11,1220
201,1.0,Premium,D,SI2,61.6,58.0,6.45,6.37,3.95,4626
202,0.9,Premium,I,VVS2,60.9,59.0,6.25,6.22,3.8,3730
203,0.52,Very Good,G,SI1,59.4,60.0,5.23,5.28,3.12,1267
204,0.7,Very Good,D,SI1,63.7,60.0,5.57,5.61,3.56,2565
205,0.7,Premium,E,SI2,62.1,57.0,5.68,5.6,3.5,2376
206,0.39,Premium,D,VS2,61.4,60.0,4.7,4.72,2.89,958
207,1.0,Very Good,G,VS2,63.3,58.0,6.39,6.27,4.01,6048
208,0.37,Premium,G,SI1,62.1,60.0,4.54,4.61,2.84,551
209,1.08,Premium,F,SI2,60.2,59.0,6.6,6.65,3.99,4407
210,0.41,Ideal,G,IF,62.1,57.0,4.76,4.77,2.96,1276
211,2.03,Ideal,J,VS1,62.5,57.0,8.14,8.08,5.06,14579
212,0.53,Ideal,D,VS2,61.7,55.0,5.21,5.23,3.22,1857
213,0.53,Ideal,D,SI1,61.7,56.0,5.23,5.15,3.2,1753
214,2.71,Premium,E,SI2,60.4,59.0,9.13,9.03,5.48,17146
215,1.31,Ideal,H,VS1,61.5,56.0,7.0,7.06,4.32,8429
216,0.51,Very Good,D,SI1,63.2,55.0,5.12,5.07,3.22,1562
217,0.3,Very Good,F,VVS2,62.4,58.0,4.25,4.28,2.66,737
